video_id,title,uploader,channel_id,video_url,duration_sec,view_count,upload_date
GjBXYLWWMXk,"Agoli Anubhabe (RUDRA) - Zubeen Garg, Bhaswati Bharati | Ravi Sarma, Nandinee | Diganta Bharati",Dhwani Records,UCo0U5cuYuvGLxnLGVC_H-WA,https://www.youtube.com/watch?v=GjBXYLWWMXk,184.0,7177383.0,
CIDI-7Fe03Q,Jantra (Recreate) - Official Music Video | Zubeen Garg | Homework | Latest Assamese Movie Song 2025,RDC Assamese Official,UCvMzpArhmmyAo47g9ENPxhA,https://www.youtube.com/watch?v=CIDI-7Fe03Q,302.0,6629.0,
e3n0GbxU3MA,Satite Mukh Lukuwai Assamese Video by Asha _FULL HD MP4,ASSAMESE VIDEOS,UCpQ_nrxyGLKjG4ak8dLUOmw,https://www.youtube.com/watch?v=e3n0GbxU3MA,267.0,267801.0,
aotXztj-4Jk,Henguliya Today | 21 August | Full Episode 268 | Henguliya Assamese serial #হেঙুলীয়া #henguliya,Amazing Truths,UCrega0bVTsiuh4J6_mXaNxg,https://www.youtube.com/watch?v=aotXztj-4Jk,2384.0,4664.0,
aEbR0CAosac,Bal khobor bule 😂😂😂 #assamesevideo #funnmoments #assamese,Issa Baruah Ross,UCez5cxtYOEFYwFdRWEK2HnA,https://www.youtube.com/shorts/aEbR0CAosac,28.0,2198333.0,
0zTcovQA_Ig,Rani Kot Gol..?? 🤡🥹 #arfelishbordoloi #comedy #comedyaxom #assamese #funny #assamescomedy #assam,Arfelish Bordoloi,UCdG547XdgTYfGakOfIDGlDg,https://www.youtube.com/shorts/0zTcovQA_Ig,18.0,2520693.0,
BAdO_vvTSnc,O Sakuntala @ Neel Akash @ New Assamese Song,Neel Akash Das,UCw8KhLom_CmHSEW_cCGpN2w,https://www.youtube.com/watch?v=BAdO_vvTSnc,289.0,30383482.0,
TS5Zs_uMYQU,Anglish Tution 🤡 #arfelishbordoloi #assamese #comedy #assamesevideo #funny #assamescomedy #status,Arfelish Bordoloi,UCdG547XdgTYfGakOfIDGlDg,https://www.youtube.com/shorts/TS5Zs_uMYQU,22.0,4731208.0,
7HvKkjfsDxU,Assamese suparhit song by Zubeen Garg old Assamese song bihu | আসমীয়া পুৰণি গীত আধুনিক,Axomiya Lora official,UChxofp8tXNb2QIB6WIvYA9Q,https://www.youtube.com/watch?v=7HvKkjfsDxU,1636.0,213028.0,
oyfWX1dhGBk,Gogoi da🥰❤️#assamese #viralvideo #trendingshorts #trending #youtubeshorts #couple #couplegoals #fyp,Mun aditi official ,UCPAuY8mB7rrEjJC2knI0i7w,https://www.youtube.com/shorts/oyfWX1dhGBk,11.0,1042826.0,
0B-nrPtlnvo,Akou Pogola Hom By Neel Akash | Bihuwan | Ujjwal Aarong | Mrinmoy Mritwik | Assamese Video Song 2025,Neel Akash Das,UCw8KhLom_CmHSEW_cCGpN2w,https://www.youtube.com/watch?v=0B-nrPtlnvo,318.0,14564050.0,
sYuGsXP7ytc,Zubeen Garg Golden Collection 🎶 Best Old Assamese Songs | Evergreen Hits | Tribute to Zubeen #zubeen,Swabnam,UC3kgEr-5FZHSLtu2gHHYzIw,https://www.youtube.com/watch?v=sYuGsXP7ytc,3173.0,330471.0,
Xuu1Oj6YTc8,Jantra (Recreate) - Official Music Video | Zubeen Garg | Homework | Latest Assamese Movie Song 2025,N.K. Production,UCjNYoQ8DtLINGtNxTDDJfeA,https://www.youtube.com/watch?v=Xuu1Oj6YTc8,302.0,25422.0,
C7K-r5b3piA,Kintu Mur Ki Bhool..??🥹😭 #arfelishbordoloi #funny #comedy #assamescomedy #assamese #fun #assamese,Arfelish Bordoloi,UCdG547XdgTYfGakOfIDGlDg,https://www.youtube.com/shorts/C7K-r5b3piA,22.0,4024736.0,
_D0ttdyrwxg,Surujmukhi today episode 21-09-2025,Janmoni Bora,UC0-BPdHQMKvxlo3JWM9pO_A,https://www.youtube.com/watch?v=_D0ttdyrwxg,960.0,112727.0,
H7fXZDrJpW4,Wait for the transition 😉|| shorts video |assamese song  | Trending #viral #tishakalitashorts #reel,TiSHa KaLiTa,UCzJe4DKqxXi0-Pf5CWSZz2g,https://www.youtube.com/shorts/H7fXZDrJpW4,30.0,10967615.0,
ONirHamN8zg,Zubeen Garg &  Bornali Kalita | Hiradoi 2016 | New Assamese Song,Magical Assam,UCKtVUONCDBXGtzv9ko2-tkA,https://www.youtube.com/watch?v=ONirHamN8zg,300.0,819778.0,
M3aj9suiu3Q,GRWM for Bihu 🌾❤️  #assamese #bihu #shorts,DEV,UCBzbrjk7b3HjtqIk1znquJw,https://www.youtube.com/shorts/M3aj9suiu3Q,17.0,8025241.0,
QlKz1HWzj40,#telsura #funnyvideo #assamese #video #new,assam star,UC0cpQeoJbOpzYQbH0lNd09g,https://www.youtube.com/shorts/QlKz1HWzj40,9.0,2022854.0,
f1P-KEZkJ-A,"Today Will Credit Money, 22 August Breaking News, SHG Payment Date, Assamese Top News Today, UPI ",Tricks By Momer,UCo35VLB43nicvoL_1WMz2yg,https://www.youtube.com/watch?v=f1P-KEZkJ-A,125.0,19667.0,
tII9P9Yu9rg,Suwalik Impress Koribo Goisilu 🤡😭 #arfelishbordoloi #comedy #comedyaxom #assamese #funny #assamfunny,Arfelish Bordoloi,UCdG547XdgTYfGakOfIDGlDg,https://www.youtube.com/shorts/tII9P9Yu9rg,36.0,2247177.0,
OMy05tVXh44,DOINIK RASHIFOL | TODAY ASSAMESE RASHIFAL | INDIAN ASTROLOGY | AB SMARTTIPS,AB SmartTips,UCzUlxu0PZCoJwDcx5OesEbA,https://www.youtube.com/watch?v=OMy05tVXh44,2414.0,20548.0,
hI-CJrajHCU,Krishna Jadurai (Bhakati - Vol 3) - Gitali Devi | New Assamese Devotional Song | Bhaktimulak Geet,Gitali Musical ,UCwYmYNn_zplbmPPwNsr7WCw,https://www.youtube.com/watch?v=hI-CJrajHCU,426.0,2200.0,
