video_id,title,uploader,channel_id,video_url,duration_sec,view_count,upload_date
xY8nHajBGdU,মন্ত্রীর রাজা হওয়া | Gopal Bhar (Bengali) | Double Gopal,Sony AATH,UCBz9qbqujcjIavFmBJW2oZw,https://www.youtube.com/watch?v=xY8nHajBGdU,2620.0,490038.0,
PsibOcEU3Ps,"এবার অ্যাকশনে নামবে সেনাবাহিনী, যে ঘোষণা দিলেন সেনাপ্রধান | BD ARMY | ATN Bangla News",ATN Bangla News,UCbgcYEdMsuypG2NJ-znBp3w,https://www.youtube.com/watch?v=PsibOcEU3Ps,154.0,792380.0,
etu-o_YDsm4,কৃষ্ণচন্দ্রের সমাধি | Gopal Bhar (Bengali) | Double Gopal,Sony AATH,UCBz9qbqujcjIavFmBJW2oZw,https://www.youtube.com/watch?v=etu-o_YDsm4,2676.0,782409.0,
2GCkQH-fTio,Bengali style saree Draping😍❤️ #sareedrapping #bengalistyle #bengali #durgapuja #saree #ashortaday,The Sumedha,UCGwlQJcNsISJtvvYKE6jlRA,https://www.youtube.com/shorts/2GCkQH-fTio,39.0,2747537.0,
6V_-FCitSY0,Best Bengali Sweets? Ft. @PrettySheis 😍😋 #shorts #bengali,The Kurta Guy,UCb2v4UGL7V3QprbxrkXZkuQ,https://www.youtube.com/shorts/6V_-FCitSY0,38.0,27602129.0,
GACtfnF0a8I,এটিএন বাংলার সন্ধ্যা ৭ টার সংবাদ | 21.08.2025 | Bangla News | Ajker News | ATN Bangla News,ATN Bangla News,UCbgcYEdMsuypG2NJ-znBp3w,https://www.youtube.com/watch?v=GACtfnF0a8I,1993.0,83572.0,
HZdstwNUXVE,লতা মঙ্গেশকর | Bangla Old Movie Songs | Lata Mangeshkar | Bangla Adhunik gaan | Bangla Superhit gaan,sudhamoy karmakar,UC-_wCmNf6dPZp20y1xIeW6w,https://www.youtube.com/watch?v=HZdstwNUXVE,3842.0,617620.0,
NTV1iYIJudw,🇧🇩Instantly fluent in Bangla @AnyLingo  #bangladesh #bengali #bengaligirl #bangla #banglagram,Namour,UCObq8vXQyCBBi4BjmUVJGLw,https://www.youtube.com/shorts/NTV1iYIJudw,37.0,2184296.0,
v-5t7SVVEQw,Mita Chatterjee Pujo Special Songs | Evergreen Bengali Songs,Ronger Jadu Live,UCh0WB_wKYOiQAz5SqQAPYAQ,https://www.youtube.com/watch?v=v-5t7SVVEQw,3401.0,945968.0,
sQd9JBN970A,কাঠের ফুল | Kather Phul | Niloy Alamgir | Jannatul Sumaiya Himi | Bangla Natok | New Natok 2025,SATV Natok,UCc-Kgc5toBaVu_sJAcqaxbQ,https://www.youtube.com/watch?v=sQd9JBN970A,2222.0,390219.0,
LrcIagI1m7g,| 🌼 Maa Durga Agomoni 🌼 | Mahalaya | Bajlo Tomar Aalor Benu | #maadurga #bengali #durgapuja #shorts,Grace of God,UCtPOtPlcGv2v2gZGkfcZl9A,https://www.youtube.com/shorts/LrcIagI1m7g,22.0,873466.0,
6QiQJjVphPw,Bengali special Sorshe Ilish | Village style HIlsha fish cooking | villfood Kitchen,villfood Kitchen,UCB8SNNTpH5QjMJI0XVBOETQ,https://www.youtube.com/watch?v=6QiQJjVphPw,1555.0,145985.0,
Do7osjCAzTA,Kolkata: Students Attacked With Weapons By Traders For Speaking Bengali In Sialda Market,India Today,UCYPvAwZP8pZhSMW8qs7cVCw,https://www.youtube.com/watch?v=Do7osjCAzTA,274.0,4463.0,
xXBzgSs-cBM,Saiyaara *CRAZE* is new but I'm stuck at OG 🥹 #bengali #bengalicomedy #saiyaara #genz #trending,A Little Bengali,UC9cKpTn9SrYR7DaJrSuVDxA,https://www.youtube.com/shorts/xXBzgSs-cBM,114.0,891215.0,
vUluGB3Tfmg,Bhootu Animation - Ep 20 - Bengali Tv Serial - Zee Kids,Zee Kids,UCWKeZvw4iSZVM2qXKZde58A,https://www.youtube.com/watch?v=vUluGB3Tfmg,1289.0,223683.0,
DKKScrMPWi0,The Bengal Files😮#podcast #thebengalfiles #bollywood #bengali #bengal #youtubeshorts #shorts,PodVisions,UCtoxNYqZLysBtJPc8M1NEXQ,https://www.youtube.com/shorts/DKKScrMPWi0,43.0,325422.0,
aTaWzLIkeUY,Faguner Kaal Ailore🍁🌼 New Bengali Folk Song Releasing 28th February on @timesmusicbangla 🌼,Times Music Bangla,UCjXLxyq15uXvXKVO6lgsbDA,https://www.youtube.com/shorts/aTaWzLIkeUY,29.0,381568.0,
fQ2QeAvfrcY,Bengalis Can't Survive Without These 3 Things | Ritwik Bhowmik #bengali #mumbai #delhi #podcast,Digital Commentary,UCd7Ts5bAA7vConNzJfOKzbA,https://www.youtube.com/shorts/fQ2QeAvfrcY,43.0,2867060.0,
0gYHrN5V0Ug,Sadia Name Song In Bengali! 🇧🇩🤩🇮🇳 K3 Sisters #shorts #bengali #bangladesh #india #music #viral,K3 Sisters Band,UCyd1FQbwxPyOACQuYgFzsJg,https://www.youtube.com/shorts/0gYHrN5V0Ug,13.0,5790487.0,
3MfsZFAeNO8,THE BENGAL FILES Official Trailer | Vivek Agnihotri | Abhishek A | Pallavi J | Zee Studios | 5 Sept,Zee Studios,UC3jMepkLKF8y4iiwWmAB3RA,https://www.youtube.com/watch?v=3MfsZFAeNO8,213.0,14713473.0,
dGNkUqaIADI,Someone tell me what she said in Bangla? #bengali #bangladesh #bangla #trivia #language #geography,Namour,UCObq8vXQyCBBi4BjmUVJGLw,https://www.youtube.com/shorts/dGNkUqaIADI,21.0,1303801.0,
OnAbKOwhdkI,Bengali famous bhindi varta #shorts #bengali cooking #ranna recipe #varta recipe #trending,pratidiner ranna ghar,UC1PQY9rUwqhZTmXsQJG4Mrw,https://www.youtube.com/shorts/OnAbKOwhdkI,16.0,786495.0,
xl-az0X7gvE,Bengali superstar Jeet's golden reply about ego #shorts,KITCHEN MUMMY ,UCYdUfDQFSjDYrfew0ibKaQA,https://www.youtube.com/shorts/xl-az0X7gvE,46.0,1488745.0,
XsR6TQN1Ag4,Last picnic a jomye khelam!🍛🍖 #food #bengalivlog #bengali #bengalifood #ytshorts #eating,Uncut Shubhra,UCECxjy3ZFRAx2U2uydQyGlQ,https://www.youtube.com/shorts/XsR6TQN1Ag4,60.0,613516.0,
eskG190Jeb0,Jutir Maa #comedy #funny #song #dj #bengali #dance #acting,Srelekha Paul,UC76XHAa_F1N9bE-NHMxMBSA,https://www.youtube.com/shorts/eskG190Jeb0,23.0,11902828.0,
RFHvHabLUOg,How To Speak Bengali - In A Minute,ixigo,UCR_g7cfpdyh_cEO2V3MKGYA,https://www.youtube.com/watch?v=RFHvHabLUOg,74.0,2007740.0,
