video_id,title,uploader,channel_id,video_url,duration_sec,view_count,upload_date
Nd3PmNWqpPQ,#VIDEO #Khesari Lal #Aamrapali Dubey | टूट जाई पलंग राजा जी - Tut Jai Palang Raja Ji | Bhojpuri Song,PBR MUSIC,UCaK6lKbI363ron0kSxOmtcA,https://www.youtube.com/watch?v=Nd3PmNWqpPQ,219.0,222557474,
f30NGPhz36Q,#Video | #Pawan Singh | बबुआन | #Shilpi Raj | #Chandani Singh | Bhojpuri Babuan Song,Sur Music ,UCW1BEAegBZdCOq4M7JtDSQw,https://www.youtube.com/watch?v=f30NGPhz36Q,212.0,172969232,
pa6u1_jLD0s,#video  | पवन सिंह | भोजपुरी का सबसे हिट सांग | #Pawan Singh & Shilpi Raj | Jukebox Hit 2025,Ristey Bhojpuri,UCHJ_WDvC9Ko6emrFQfzaTtA,https://www.youtube.com/watch?v=pa6u1_jLD0s,2920.0,4176005,
ihjzst56dUA,#Video | पवन सिंह | भोजपुरी का सबसे हिट सांग | #Pawan Singh & Shilpi Raj | Jukebox Hit 2025,AD Films,UCYn4r2c4f-QVEU_8s6KYWZg,https://www.youtube.com/watch?v=ihjzst56dUA,2720.0,1666021,
khljMRx1-tM,Video | ब्लाउस करिया | Khushi Kakkar | Blouse Kariya | Parul Yadav | New Bhojpuri Song,Evergreen - Meera Music,UCdp1e9dhin0HgbsngB4Yybw,https://www.youtube.com/watch?v=khljMRx1-tM,959.0,2168366,
cssY0jENfoc,#video - हरनवे धई धई  दबाता - #SamarSingh - Haranwe Dhai Dhai Dabata  - Bhojpuri Song 2025,Bawander Music,UChCO8sKD6jJrmRxtYW3gaFQ,https://www.youtube.com/watch?v=cssY0jENfoc,198.0,112182724,
yLLp9r3z6gA,#video - बाली रे उमरिया के || Dhananjay Dhadkan Viral Song 2024 || Balma Kadar Na Jnae |,DD Records Bhojpuri,UCJ6pYsRjex2yvuBWGSvnKEw,https://www.youtube.com/watch?v=yLLp9r3z6gA,191.0,171756336,
sAloiE9-OIA,#Video | #नीलकमल सिंह | धरS कमर राजा जी | #Neelkamal Singh | Shrishti Uttrakhandi | Bhojpuri Song,Neelkamal Singh Official,UCyxH3vRaMqHiJFyHnC7qhUw,https://www.youtube.com/watch?v=sAloiE9-OIA,228.0,200493624,
XHi-EYCnbMc,"#Video | Handsome Hero | Khesari Lal Yadav , Beauty Pandey | Ft. Amisha | Bhojpuri Song 2025",Annapurna Films,UCY26pVlcGOQADWohxAqlQow,https://www.youtube.com/watch?v=XHi-EYCnbMc,232.0,9631762,
fgLhVyrg5d8,"#Video | सड़िया करिया | #Ankush Raja, #Karishma Kakkar | Sadiya Kariya | New Bhojpuri Song",Aadishakti Films,UC1Ekm042kfOFJyKaTIYOVIA,https://www.youtube.com/watch?v=fgLhVyrg5d8,184.0,181146879,
S3FtGjzMANM,#Video | सरकारी बलमु | #Shivani Singh | Sarkari Balmu | Taza Hawa | New Bhojpuri Song 2025,GMJ - Global Music Junction - Bhojpuri,UCU_FozE_MPC8w4YncyShmJQ,https://www.youtube.com/watch?v=S3FtGjzMANM,173.0,12495152,
sTcHmBcatgk,Hit Video Comedy Dance Dehiti Shorts Funny #modi #bhojpuri #song #ytshorts #comedy #funny,Fic Akentaniment,UC2SuVbnTyRsyt2--to2wOnQ,https://www.youtube.com/shorts/sTcHmBcatgk,9.0,1995927,
ahL88mI-EKo,"Bahu Ki Bidaai Bhojpuri Full Movie 2025 | Emotional Family Drama | Ritesh Upadhyay, Preeti Shukla",Enterr10 Rangeela,UCR_-PUF53tA5-Iyp4Ncfjcg,https://www.youtube.com/watch?v=ahL88mI-EKo,8706.0,1839460,
dwiXguIajEA,#Video - #Khesari Lal Yadav | निम्बू खरबूजा भईल 2 | #Karishma Kakkar | Sapna Chauhan | Bhojpuri Song,West Bhojpuri,UCh2qdD9dzVieu363rsC78_w,https://www.youtube.com/watch?v=dwiXguIajEA,205.0,469996282,
