video_id,title,uploader,channel_id,video_url,duration_sec,view_count,upload_date
DxZ9Y8cQHZc,Lai Ja Ne Lerida - 4K Video - Gopal Bharwad - Manisha Bharwad - લઈ જા ને લેરીડા - Jigar Studio,Jigar Studio,UCBUlrhmOjVLOpbgHAUJceaw,https://www.youtube.com/watch?v=DxZ9Y8cQHZc,516.0,20343878.0,
_0avsUNLAXg,Gujrati sarees for wedding 🌸🌺,Fashion idea zone,UCEBMlyOoysuK2U8dd1P_llg,https://www.youtube.com/shorts/_0avsUNLAXg,12.0,425360.0,
-lzRnfB2CWA,TV9 Gujarati LIVE | Gujarat Rain RED Alert | Junagadh Rains | Monsoon 2025 | Gujarat Weather Update,TV9 Gujarati,UCeJWZgSMlzqYEDytDnvzHnw,https://www.youtube.com/watch?v=-lzRnfB2CWA,,,
j-UnZC6Bv8g,"Thakar Kare Ae Theek (ઠાકર કરે એ ઠીક) | New Gujarati Comedy Natak 2025 | Sanjay Goradia, Kuldeep Gor",Gujarati Comedy,UCfRpfFRaXb31MdOf4w3QXTQ,https://www.youtube.com/watch?v=j-UnZC6Bv8g,7738.0,113589.0,
VwD4lxHVsco,"GUJARATI THALI (authentic) at Sasumaa / 📍Vadodara,Gujarat #gujaratithali #gujarati #purevegthali",Tourguide-RS,UChRLT5ML-00X9j4MCHQNeag,https://www.youtube.com/shorts/VwD4lxHVsco,53.0,460564.0,
2coNyc-q1wQ,Desire | ઈચ્છા | Bhavesh Balsasan New Attitude Song Tending 2025 @VIHATSTUDIOALDESAN #desire,VIHAT STUDIO ,UCRNg7TvslbhuZdPVLQ7UUqA,https://www.youtube.com/watch?v=2coNyc-q1wQ,332.0,425304.0,
VUA-UYrx0Z4,GUJARATI BAHU I गुजराती बहू I KAJAL RAGHWANI I NEW BHOJPURI MOVIE 2025,B4U Bhojpuri,UCIobY5Y-ly9Bo458yjy36OQ,https://www.youtube.com/watch?v=VUA-UYrx0Z4,8208.0,13952738.0,
9T83Dj-jFnY,Madhro Darudo Song | Hahacar | Jignesh Barot | Parth Bharat Thakkar | Gujarati Hit Song 2024,Saregama Gujarati,UCvrD1eyGgo8O9JcTraCvYBg,https://www.youtube.com/watch?v=9T83Dj-jFnY,229.0,48823246.0,
EgLkO8sXmtY,Geeta Rabari -  Koi Kejo Kana Na Kan Maa | New Gujarati Garba 2024 | @GeetaBenRabariOfficial,GeetaBen Rabari,UCxEjIcW9n0JsTSCGQDufi9A,https://www.youtube.com/watch?v=EgLkO8sXmtY,773.0,12172845.0,
a6DNzKKqA3o,Rajyo Ke VIjuli Mare Tane Dikari Nathi Devi | Gujarati Comedy | 2025 | Vijudi Na Comedy,One Media Entertainments,UCeU2dRczjRSNbbvSPFaop6w,https://www.youtube.com/watch?v=a6DNzKKqA3o,861.0,51254.0,
rEXx3KrZUA4,Std 7 gujarati trimasik ekam kasoti paper august 2025/dhoran 7 gujarati trimasik ekam kasoti paper,Education Nonstop,UCrMxnL6MmCmEC1rytPE1B7Q,https://www.youtube.com/watch?v=rEXx3KrZUA4,165.0,531.0,
tcAgvf495y0,Gujarati News LIVE | ગુજરાતના તમામ મહત્વના સમાચાર | Weather Updates| Breaking | News18 Gujarati,News18 Gujarati,UCqfX_f4rBbPhq_KESE4saCA,https://www.youtube.com/watch?v=tcAgvf495y0,,,
ASUqCEznEj4,Vijay Suvada | Tu Maro Pelo Chhelo Pyar (Official Teaser) New Gujarati Song 2025 | Jhankar Music,Jhankar Music Gujarati,UCQeljbfXMX_5a2_KMXTkF-A,https://www.youtube.com/watch?v=ASUqCEznEj4,46.0,3953.0,
VPtI16Th_tU,Rakesh Barot - Bairu Gayu Piyar | New Gujarati Song 2018 | Raghav Digital,Raghav Digital,UCZRIvleceNUxAQpVQdQwLAg,https://www.youtube.com/watch?v=VPtI16Th_tU,331.0,110801188.0,
zoExKe0_wKE,કક્કો | Kaushik Bharwad | Prem No Kakko | મારું બનવું છે | New Gujarati Song 2025 |  @Music_Pataro ​,Music Pataro Gujarati ,UCgoslslAG33zwrzE637Z4Jw,https://www.youtube.com/watch?v=zoExKe0_wKE,277.0,37839317.0,
TU1SlvlQ_jY,LERI LALA | KINJAL DAVE | Full Video Song Produce by STUDIO SARASWATI Junagadh,Studio Saraswati Official,UCpZVXyR7lix525VPi3Vc5mg,https://www.youtube.com/watch?v=TU1SlvlQ_jY,342.0,148332058.0,
i8hDZwRpAok,Gujarati Status || New Gujarati Mashup WhatsApp Status || Gujarati Love Status || ગુજરાતી સ્ટેટસ,RJ Reaction ,UCOzWuv4vqp5ximWkOKxXXPg,https://www.youtube.com/shorts/i8hDZwRpAok,9.0,37999321.0,
4NJo7C-Ylys,Non Stop Krishna Bhajan Gujarati | જન્માષ્ટમી ના ગીત | Gujarati Bhajan | કૃષ્ણ ભજન | Kanuda Na Geet,Nova Gujarati,UCf3ns-W-8e41pR0B-YmorEg,https://www.youtube.com/watch?v=4NJo7C-Ylys,4243.0,386725.0,
-6oAZwTGD2c,"Ranchhod Rangila | Sabhiben Ahir, @RAJESH_AHIR | Song Of Faith | New Gujrati Song 2023",RAJESH AHIR,UCkZlu5mb0UGWoZdURaDVMKg,https://www.youtube.com/watch?v=-6oAZwTGD2c,281.0,189597719.0,
rmVle2UDQcM,Janhvi Kapoor and Tanna Bhatia Amarpali Khatarnak dance // #shortsfeed #shortvideo #gujarati ￼,Mr Samar,UCJmdwLQ2RTR2RjQyjOHoTiQ,https://www.youtube.com/shorts/rmVle2UDQcM,16.0,633523.0,
uy09eLzdY70,Lili Vanrar Ma Morlo Re - લીલી વનરાર મા મોરલો રે - Vikram Thakor Mamta Soni - Romantic Song #Shorts,Ultra Gujarati,UCbpoYJR5330eSN4ljwVp1gw,https://www.youtube.com/shorts/uy09eLzdY70,37.0,495430.0,
WgP2A4Py3gw,Every Gujarati Ever,Akaash Singh,UCdFGdIh0CZa_oF8MJAowsEw,https://www.youtube.com/shorts/WgP2A4Py3gw,35.0,69527972.0,
IWOv0s28kD0,Tara Page Page Fulvadi - Remix - Gopal Bharwad - 4K Video - Latest Gujarati Song,Jigar Studio Gujarati,UCNngpBMUPVfXp0w5q7Aze4w,https://www.youtube.com/watch?v=IWOv0s28kD0,315.0,11514409.0,
EiK3sAnHZ34,Why does Gujarati sound so Tangy?,India in Pixels by Ashris,UC3vpdI7klzLSLNgqZEESZ4g,https://www.youtube.com/watch?v=EiK3sAnHZ34,1379.0,210439.0,
YuJxgU4yEEk,“I Live in Gujarat But Don’t Speak Gujarati” –Viral Video on Language Debate,Zee Business,UCkXopQ3ubd-rnXnStZqCl2w,https://www.youtube.com/shorts/YuJxgU4yEEk,47.0,1980320.0,
yGUjBVKOK6k,THE GUJRATI CODE.    #gujrati #comedy #ytshorts #youtubeshorts,Dhiraj Sanap,UCDCdzwdU6aPC1f88RajGsrg,https://www.youtube.com/shorts/yGUjBVKOK6k,56.0,19330620.0,
upAXfdnUs7c,Gujjus have their own pronunciation | Princy Parikh #whatyaaprincy #gujarat #language #gujarati,Princy Parikh,UCHWcTUlaLVO-HhIefZZXGEA,https://www.youtube.com/shorts/upAXfdnUs7c,84.0,5596260.0,
NTO_31fAi7U,Bapu Bagdya 😈🔥….#tappuparmar #attitude #gujarati #bapu #rajput,Tappu Honey Parmar,UCFdmd1JSZVHF2nCpudLfQDA,https://www.youtube.com/shorts/NTO_31fAi7U,15.0,70239612.0,
IY5D2j374Mw,Amara Homu Thaso Nahi 😱 | #sachinandpriya2592 #trending #shortvideo #shortsfeed #gujarati #shorts,Sachin And Priya 2592,UCTpsF-1Gda7CoBfXCySKvhQ,https://www.youtube.com/shorts/IY5D2j374Mw,14.0,261764.0,
VE92dDY_L9U,🔥 Non stop Gujarati 😈 attitude song mashup  mix 2024-25 | | Gujarati attitude songs | | #attitude,Sandip parmar ,UCp72czPVK633PrlhcxPwPKQ,https://www.youtube.com/watch?v=VE92dDY_L9U,1590.0,606213.0,
BG8HAdVLZO8,Gujrat Anthem- BHB ( Official Music Video ) | Prod by @a7am_music ,BHB Music,UC5K_41VHSY7LEP5hp7IH8Wg,https://www.youtube.com/watch?v=BG8HAdVLZO8,218.0,76036.0,
JlTlsGIR69c,🟠Gujarat Rain Fatafat News LIVE | ગુજરાતમાં વરસાદના સૌથી મોટા સમાચાર | Weather Update | News18,News18 Gujarati,UCqfX_f4rBbPhq_KESE4saCA,https://www.youtube.com/watch?v=JlTlsGIR69c,29677.0,25000.0,
9qDs5pVkidM,Top 8 Gujarati Comedy Movies                                          #movie #viral #gujrati #comedy,Movies Walo,UC4oftE-bdWI4s-cfo4ZMPTA,https://www.youtube.com/shorts/9qDs5pVkidM,32.0,410252.0,
3N9auis8xXk,Mithudi ♥️ #newsong #garba #song #music #gujarati #gujrativideosong #gujaratistatus #dhruva_bhudev,Dhruvi Vyas,UCynGVO_mb4sE2KrJOvwq3BQ,https://www.youtube.com/shorts/3N9auis8xXk,14.0,388677.0,
XDX9NhQwW7M,Gujarati Music | Indian Stand-up Comedy By Munawar Faruqui #shorts,Humour Club,UCBx3jm9ZtCVySsK3W0tC0RA,https://www.youtube.com/shorts/XDX9NhQwW7M,60.0,27113656.0,
AH7wrCPJB0w,Akkar Chakkar (Jigar Ni Jeet) Jigar Thakor | Film Video Song | Chandu Raval | Rutvij Joshi,Jhankar Music Gujarati,UCQeljbfXMX_5a2_KMXTkF-A,https://www.youtube.com/watch?v=AH7wrCPJB0w,248.0,25620204.0,
2fd_IzVFsNY,Rs 3000 Gujarati thali at the House of MG,Hmm!,UCjZ7T2nBnxAQBh9ioKGNr1w,https://www.youtube.com/shorts/2fd_IzVFsNY,173.0,5510640.0,
1vsAU9dVBiw,Gujarat | Indian State | By Shubham Jawla |,Grade Plus,UCmV0kLse1Ri-V_MxYohnDdg,https://www.youtube.com/shorts/1vsAU9dVBiw,60.0,3141883.0,
GoFPkP5WPJY,Nanpan No Nedlo - Gracy Chauhan - Latest Gujarati Sad Song 2022,GB STUDIO KANIJ ,UCGVUmBH_tLBbNX7SBg6LFDw,https://www.youtube.com/shorts/GoFPkP5WPJY,16.0,4661346.0,
-3b0S3uHF5Q,Sister's Wedding | Gujarati Wedding,wedding Gujarat,UCaUnI9j8Qv6DhW-SNv98p4g,https://www.youtube.com/shorts/-3b0S3uHF5Q,10.0,502574.0,
e_gFKDMb0FQ,Kajal Maheriya - Madya Maa Na Ashirvad | New Gujarati Song 2018 | Full HD VIDEO | RDC Gujarati,RDC Gujarati,UCuB7zkQVpcPKzHYJn45vM9w,https://www.youtube.com/watch?v=e_gFKDMb0FQ,415.0,163480806.0,
oieLUJIyT0Y,Gujjubhai Siddharth Randeria BEST Comedy Natak - Rang Chhe Rajja | Full Gujarati Comedy Natak,Gujarati Comedy,UCfRpfFRaXb31MdOf4w3QXTQ,https://www.youtube.com/watch?v=oieLUJIyT0Y,7923.0,256715.0,
TGXLhJYSvbM,Fafda Jalebi In Gujarat 😋🤤 #youtubeshorts #shorts #food,RAJ ANADKAT,UCrSYpOSIORd5AELgl8_xSiA,https://www.youtube.com/shorts/TGXLhJYSvbM,22.0,21514476.0,
