video_id,title,uploader,channel_id,video_url,duration_sec,view_count,upload_date
6xWWoniG3qI,New Song 2025 | New Hindi Song | O Maahi Mere Maahi | Tiger Shroff | Harnaaz Sandhu | Romantic Song,Music World,UCpAQLTmZvFE56Y1MqoI1_kw,https://www.youtube.com/watch?v=6xWWoniG3qI,190.0,14484.0,
MehDrd8mSsw,Aaj Ki Taaza Khabar LIVE : 22 August 2025 | Rahul Gandhi | PM Modi | CM Rekha Gupta | Latest News,TIMES NOW Navbharat,UCMk9Tdc-d1BIcAFaSppiVkw,https://www.youtube.com/watch?v=MehDrd8mSsw,,,
84Y4AdB3hHU,"din bhar ki khabar | news of the day, hindi news india | top | Bihar news |rahul gandhi |sansad news",DB Live,UCBbpLKJLhIbDd_wX4ubU_Cw,https://www.youtube.com/watch?v=84Y4AdB3hHU,1023.0,669595.0,
Am8HeAZw8wQ,New Song 2025 | Lut Gaye | Siddharth Malhotra & Jannvi Kapoor | Hindi song| Bollywood New Song 2025 ,PRG Hindi Audio,UCigy0uZUtH6V2PAYHftQ4Qg,https://www.youtube.com/watch?v=Am8HeAZw8wQ,233.0,36180.0,
V0jFYD0PirU,"""हर दिल जो प्यार करेगा शीर्षक गाना"" फ़ीट सलमान खान, क़्वीन मुखर्जी",T-Series,UCq-Fj5jknLsUf-MWSy4_brA,https://www.youtube.com/watch?v=V0jFYD0PirU,286.0,497411646.0,
5tY24sfzNeM,Mission Muh Dikhayi Official Trailer | Kushal Dubey | Mugdha Aggarwal | New Hindi Film Trailer,The Asstag,UCNkivqvTLBc1THA_dG2K7-A,https://www.youtube.com/watch?v=5tY24sfzNeM,136.0,93596.0,
7SLGxEDyqWo,Chunnari Chunnari - Biwi No.1 (1999) | Abhijeet | Anuradha Sriram | 90s Hindi Song,Nadeem Shravan Songs,UCA4ecKiyFW71Br7WU-Bcy_g,https://www.youtube.com/watch?v=7SLGxEDyqWo,316.0,43040437.0,
pjvpZzGbpV4,"अ, आ, इ, ई, हिंदी चार्ट  | Hindi Alphabets Chart | #hindi #english #chart #shorts",AG Kid Academy,UClTFC6zpKYPeiTzHTCEfYAw,https://www.youtube.com/shorts/pjvpZzGbpV4,6.0,9763662.0,
ejaHgEgJ5vM,How To Trick Old Vending Machines 😮 ( 3D Animation in Hindi ) #shorts,Engineer Explain in hindi,UC1xn6WgXIxqS7JrtW0NCBHw,https://www.youtube.com/shorts/ejaHgEgJ5vM,20.0,34889631.0,
hiUmLheLpLo,"90s Evergreen Bollywood Hits Songs | Hindi Love Songs |90s Hits Hindi Songs, Sadabahar Songs Jukebox",Tips Official,UCJrDMFOdv1I2k8n9oK_V21w,https://www.youtube.com/watch?v=hiUmLheLpLo,8515.0,2472657.0,
iTIJMy5Bc7o,Barsaat Ke Mausam Mein | Naajayaz | Naseeruddin Shah | Kumar Sanu | Roop Kumar Rathod | Hindi Song,Bollywood Gaane,UCBs6vHPbfJnNBDrgqswRxug,https://www.youtube.com/watch?v=iTIJMy5Bc7o,339.0,83060963.0,
