video_id,title,uploader,channel_id,video_url,duration_sec,view_count,upload_date
jdJoOhqCipA,🔴LIVE | TV9 KANNADA NEWS | ಟಿವಿ9 ಕನ್ನಡ ನ್ಯೂಸ್ ಲೈವ್ | TV9 KANNADA NEWS LIVE | DHARMASTHALA CASE,Tv9 Kannada,UC8dnBi4WUErqYQHZ4PfsLTg,https://www.youtube.com/watch?v=jdJoOhqCipA,,,
I0TWaqEHhSI,Live: Asianet Suvarna News 24x7 | ಸುವರ್ಣ ನ್ಯೂಸ್ ಲೈವ್‌ | Kannada News Live | Mahesh Shetty Thimarody,Asianet Suvarna News,UCjElJyiXmQXnWmceQ1JyKrA,https://www.youtube.com/watch?v=I0TWaqEHhSI,,,
Y5gX2dw4ySY,🔴 LIVE | ಟಾಪ್ ಸುದ್ದಿಗಳ ಸಮಗ್ರ ನ್ಯೂಸ್ | Top Stories Of The Day | 22-08-2025 | #tv9d,Tv9 Kannada,UC8dnBi4WUErqYQHZ4PfsLTg,https://www.youtube.com/watch?v=Y5gX2dw4ySY,,,
u-gqiJJ5E2Q,Annayya | Ep - 271 | Preview | Aug 21 2025 | Zee Kannada,ZEE5,UCXOgAl4w-FQero1ERbGHpXQ,https://www.youtube.com/watch?v=u-gqiJJ5E2Q,50.0,20912.0,
JparldKT-Kc,Naa Ninna Bidalaare | Ep - 149 | Preview | Aug 21 2025 | Zee Kannada,Zee Kannada,UC4xZrjsfEiomEbE9OUjN4-g,https://www.youtube.com/watch?v=JparldKT-Kc,30.0,53934.0,
pGLLT0VMzvE,The Pyramid Movie Explained In Kannada • Mystery Thriller Movie • Plot Review,Mystery explainer kannada,UC5CbB7rMn1GTYWssomu5Nuw,https://www.youtube.com/watch?v=pGLLT0VMzvE,824.0,19948.0,
zReD3NnnQOM,LIVE:ಶುಕ್ರವಾರ ತಪ್ಪದೇ ಕೇಳಬೇಕಾದ ಶ್ರೀಮಹಾಲಕ್ಷ್ಮೀದೇವಿ ಭಕ್ತಿಗೀತೆಗಳು | Lakshmi devi Kannada Songs,Kannada Bhakthi Sagar - ಕನ್ನಡ ಭಕ್ತಿ ಸಾಗರ್,UCw6vkTDS9rL4gPxeRsnMNkQ,https://www.youtube.com/watch?v=zReD3NnnQOM,,,
t_L7G8-n5xI,Karna | Ep - 36 | Preview | Aug 21 2025 | Zee Kannada,Zee Kannada,UC4xZrjsfEiomEbE9OUjN4-g,https://www.youtube.com/watch?v=t_L7G8-n5xI,50.0,149452.0,
4ZIfqCiYiXw,Maathu Nannovalu Song - Kannada | Darshan | Navya Nair | Gaja Kannada Movie Songs,SGV Music,UCUO74q0Mu2-ddC_ZIYTGnyQ,https://www.youtube.com/watch?v=4ZIfqCiYiXw,290.0,3736818.0,
JjDRVOSVois,LIVE I ಶುಕ್ರವಾರ ತಪ್ಪದೇ ಕೇಳಬೇಕಾದ ಅಷ್ಟಲಕ್ಷ್ಮಿ ಸ್ತೋತ್ರಂ | ASHTA LAKSHMI STOTRA KANNADA LIVE,BHAKTHI MUSIC | KANNADA DEVOTIONAL | KANNADA SONGS,UCwrp8tAcFsP3FplC8u6IQMA,https://www.youtube.com/watch?v=JjDRVOSVois,,,
dSqQkqqq8fM,Huttidare Kannada Nadalli Huttabeku - HD Video Song | Aakasmika Kannada Movie Songs | Dr Rajkumar,SGV Music,UCUO74q0Mu2-ddC_ZIYTGnyQ,https://www.youtube.com/watch?v=dSqQkqqq8fM,258.0,41072767.0,
VEgXzP4mit0,Chikkejamani - Best Scenes | 20 Aug 2025 | Kannada Serial | Udaya TV,Udaya TV,UC3yU0gVsepAY-ZGBDju6eHA,https://www.youtube.com/watch?v=VEgXzP4mit0,546.0,1121.0,
k-IsP9Fv0nQ,#Amava ninn magal#kannada #janapada#youtubeshorts#love #song#trending#shortvideo #shorts#viralshorts,Priya_official_vlog,UCTT3sbojDS1VWpF8xcia14g,https://www.youtube.com/shorts/k-IsP9Fv0nQ,14.0,37671.0,
QLg9AZwk5n4,Shanthi Nivasa- Promo | 21 Aug 2025 | Udaya TV Serial | Kannada Serial,Udaya TV,UC3yU0gVsepAY-ZGBDju6eHA,https://www.youtube.com/watch?v=QLg9AZwk5n4,30.0,25400.0,
Rw6qaunTExk,Independence Day Special 🎉 | Baby Sandalwood Stars on Their Way to School @kannadaaichannel,kannada AI video ,UCTvZjBjfTSyjCdRWJ-vo09A,https://www.youtube.com/shorts/Rw6qaunTExk,21.0,1841673.0,
nlsLKA6hlVQ,Anisuthide Video Song | Mungaru Male | Sonu Nigam | Ganesh | Pooja Gandhi |Manomurthy| Yogaraj Bhat,Anand Audio,UCLtCejNl8eAg4PO_9lf2TIg,https://www.youtube.com/watch?v=nlsLKA6hlVQ,274.0,73878853.0,
6eMbQUaEijI,Thotake Hogu Timma - Kannada Rhymes 3D Animated,infobells - Kannada,UCzKWILdrVl8ZEcDzaH4kl_A,https://www.youtube.com/watch?v=6eMbQUaEijI,170.0,290639869.0,
IB6Xb2MFRxI,Karna | Ep - 34 | Best Scene | Aug 19 2025 | Zee Kannada,Zee Kannada,UC4xZrjsfEiomEbE9OUjN4-g,https://www.youtube.com/watch?v=IB6Xb2MFRxI,242.0,197461.0,
CaTEZ4_jqvg,Kanasugarana Ondu Kanasu Kelamma Video Song from Ravichandran's Kannada Movie O Nanna Nalle,Ravichandran Hits - SGV,UC7YlsxuPDho0PWNYroGnHsA,https://www.youtube.com/watch?v=CaTEZ4_jqvg,517.0,8063206.0,
yQEiAGuA4-Y,ಕೇಳೋ ಮಾದೇವ (kelo mahadeva ) kannada lyrical video song  | Ananya bhat | #kannada #devotional #God,Sk Audios,UCk2x0mpGNKHfAjQqloM72qQ,https://www.youtube.com/watch?v=yQEiAGuA4-Y,226.0,36399197.0,
7FN5cC94Jsw,ಜೂನಿಯರ್ ಎನ್ ಟಿಆರ್ ಕನ್ನಡ ಹಾಡು ಹಾಡಿದ್ದಾರೆ | Junior N.T.R sings Kannada song,IIFA Utsavam,UCLnPjJCUWfyIFcGDGn-Kynw,https://www.youtube.com/shorts/7FN5cC94Jsw,55.0,601305.0,
anKVTZ132V8,#Karna #Shorts #Zee Kannada #Entertainment #Drama,Zee Kannada,UC4xZrjsfEiomEbE9OUjN4-g,https://www.youtube.com/shorts/anKVTZ132V8,84.0,5541.0,
9IU1PztD2Ms,Kannada song ✨ @actressharshitha #kannada #comedy #song #trending #reels #shorts #artist #serial,actress Harshitha,UC2Xd5Gf_AULYAWvpGSrGFrQ,https://www.youtube.com/shorts/9IU1PztD2Ms,22.0,576844.0,
0xTs66rCHvc,Sweet lover 😂 #kannada #comedy #kannadathi #funnyreel #funny,Rashmi Gowda,UCvL__cQYeQ0KbDcKwLNql1Q,https://www.youtube.com/shorts/0xTs66rCHvc,17.0,64145759.0,
rWohBP6oa_o,Karna Song Making #karna  #viralvideo #love #kannada #dance #makingvideos #karna #bhavyagowda,1 lookcreation,UCyPfvec369S9PGuLR5WL9jw,https://www.youtube.com/shorts/rWohBP6oa_o,16.0,10244460.0,
LqZwjTLTIiQ,Annayya kannada serial actors || reel vs real || #kannadaserials,ಕನ್ನಡ ENTERTAINMENT,UCNG-0Mz99-6sZLd-YYdPu4A,https://www.youtube.com/shorts/LqZwjTLTIiQ,25.0,739152.0,
sLBIlY3oBa4,kanasina hole gungina male kannada song lyrics video #kannada #shorts #song #lyrics #kannadasong,BMP_Editor,UC8NsrLsVRUJZEu-EpklspFw,https://www.youtube.com/shorts/sLBIlY3oBa4,14.0,224533.0,
RO1Zulzkrok,dr rajkumar 💞 vajramuni #love #drrajkumar #kannada #song #drrajkumar #vajramuni #kannadasuperstar,shreyu .,UCuQuQQpR61anukjN2LgSxqw,https://www.youtube.com/shorts/RO1Zulzkrok,13.0,410146.0,
jBEBVuRDtOY,Prisoner❌Lover ✔🤣🤣🤣 #kannada #kannadashorts #shortsfeed,Wonder Kannadiga,UCkWZIq9c1AV8YmxHiN6o-yg,https://www.youtube.com/shorts/jBEBVuRDtOY,14.0,4591475.0,
Cj11Ej1SxnM,Kannada Actor Raj B Shetty “Baaava Bandaru” Dance Goes Viral | #shorts #janyamedia,JANYA MEDIA,UC-ZZqnQIvEMmvXjCeHP3Rdw,https://www.youtube.com/shorts/Cj11Ej1SxnM,20.0,4438867.0,
i2J2GoQ6LzE,Bigg Boss Kannada Season 12 Contestants | BBK | #biggboss #bbk #kannada #sudeep #colors #yt #shorts,KFI Cast,UCj26R9UPc51sKlvMQgq5h2Q,https://www.youtube.com/shorts/i2J2GoQ6LzE,60.0,442858.0,
0D-syNE6Wr4,Trending One..🫶 @sannumunnu  #cutepair #kannada  #ytshorts #shortsfeed #shorts #trendingshorts,SannuMunnu💕,UCGzvnUnwYfvgIS7mXGhaa5Q,https://www.youtube.com/shorts/0D-syNE6Wr4,31.0,2138717.0,
ksHDWPP02TY,Suryavamsha (2000) | Kannada Movie Cast in 4K#shorts#shortsfeed#ytshorts#shortsvideo#trending#viral,Cinema Talk,UC3ss7bwcLw0wkFX4zeqnyyg,https://www.youtube.com/shorts/ksHDWPP02TY,26.0,1856930.0,
yIcaJlfCTlw,Kannada comedy #kannada #kannadacomedy #kannadanews #dboss #shorts #shortvideo #funny #comedy #fun,swathi gowda YT,UCaxmHcgx2yIqxecCYegPk7w,https://www.youtube.com/shorts/yIcaJlfCTlw,55.0,2348464.0,
XMHj6K61008,serial actress reel vs real #kannada #love #song #serial #viralvideo #ytshorts,musical_world,UCFFt0pFQZPitgQW_zs0gt1g,https://www.youtube.com/shorts/XMHj6K61008,14.0,1925004.0,
_3UnY5k5TLc,#kannada#mantra#shorts #shortvideo #short#viral #viralvideo #video #shortsfeed #ytshorts #yt #ytshor,Devotional,UC_K-YPHFKTrF9H-_Dihh83Q,https://www.youtube.com/shorts/_3UnY5k5TLc,6.0,30887.0,
svEdOajVL1Y,Kannada comedy #kannada #kannadacomedy #kannadanews #dboss #shorts #shortvideo #funny #comedy #fun,swathi gowda YT,UCaxmHcgx2yIqxecCYegPk7w,https://www.youtube.com/shorts/svEdOajVL1Y,38.0,2629447.0,
Bq_XG9x1XrA,Kannada kathegalu - 27  #lessonablestory  #emotionalstory   #motivational#usefulinformationkannada,Gk kannada adda story,UCb1LqXjRebkNuUm7x4PMv6A,https://www.youtube.com/watch?v=Bq_XG9x1XrA,869.0,45588.0,
8CQWW0oXNeI,Mungaru Maleyalli song | Andondittu Kaala | #lovesong | #newrelease | #kannada | Folaxx studio,Folaxx studio,UCatllidsNSNl7TDZ3UDb5vg,https://www.youtube.com/shorts/8CQWW0oXNeI,27.0,924538.0,
u1Xa_s5p_vo,Bangle Bangari Lyrics Song | EKKA | #kannada #songlyrics #banglebangari #ekka,Just time pass,UCroKmIvvdAimxkTba8Ro64g,https://www.youtube.com/shorts/u1Xa_s5p_vo,24.0,2657097.0,
wNDYWQmYXTA,Suryanobba Chandranobba Ee Rajanu obba | Dr.Puneeth Rajkumar Songs | Kannada Movies Selected Songs,Anand Audio Kannada (ಕನ್ನಡ),UC8LR72vOp4qVvNDeU-H0EwA,https://www.youtube.com/watch?v=wNDYWQmYXTA,5256.0,1486914.0,
Snxu-qDOBUg,LIVE : Karnataka Assembly Monsoon Session 2025 LIVE | Day 08 | @newsfirstkannada,NewsFirst Kannada,UCFRlIV1mX-traJb5fd7S3nw,https://www.youtube.com/watch?v=Snxu-qDOBUg,42897.0,18384.0,
ZM8AAkYsL48,Su from So | Bava bandaru | Raj B Shetty #sufromso #themesong #kannada #dance #yt #veeshma_praful,Veeshma Praful,UCQ8kxAasM-n5oHxamEXQ-_A,https://www.youtube.com/shorts/ZM8AAkYsL48,32.0,264486.0,
ehWFDXdB4Hc,DANKS ANTHEM | Su from So | Raj B Shetty #sufromso #dance #kannada,Power Studios,UC7jijgxRsG7kM1An8go3BDg,https://www.youtube.com/shorts/ehWFDXdB4Hc,12.0,200463.0,
xA3KY4FbPXY,#newpost #janapada #kannada #trending,ಶ್ರೀರಾಮನ ನೆರಳು ,UCrjGy_yjT4w7iHYFwO2By6A,https://www.youtube.com/shorts/xA3KY4FbPXY,17.0,17508848.0,
I3t9agGhWyI,Ra Ra Rakkamma Full Video Song [Kannada] | Vikrant Rona | Kichcha Sudeep | Jacqueline Fernandez|Anup,Lahari Music | T-Series,UCnSqxrSfo1sK4WZ7nBpYW1Q,https://www.youtube.com/watch?v=I3t9agGhWyI,226.0,124907936.0,
EcdswCLAIKU,Aakasha Neene Song - Kannada | Ambari Movie | Yogesh | Sonu Nigam | Super Hit Song,SGV Music,UCUO74q0Mu2-ddC_ZIYTGnyQ,https://www.youtube.com/watch?v=EcdswCLAIKU,264.0,6820379.0,
A_MKt0HGB1A,Daily Use English Words | Learn Spoken English With Kannada | English Words,EnglishVibes Kannada,UC6obwaftAKmEruxukBgaPKw,https://www.youtube.com/shorts/A_MKt0HGB1A,11.0,1490919.0,
mfJpWf4U398,Karimani dance by suviksha #shorts #dance #trending #kannada,Pravallika_Richh akka,UCjZQyGJeZv68zMIJOXk0vmA,https://www.youtube.com/shorts/mfJpWf4U398,16.0,16100314.0,
7jgX3FW2gZo,Raksha bandhan kannada lines video #kannada #shorts #shortvideo #kannadasongs #trending #karanataka,Shivu_editor_02,UCPgeAZsZafPnm-bSPcU2GbA,https://www.youtube.com/shorts/7jgX3FW2gZo,29.0,507231.0,
E4b5OB2P7r8,Ei song meaning cheppara 😅😅 #prashubaby #dance #youtubeshorts #youtube #shorts #kannada,prashu__baby,UCL0pM5-vrLp3Oy9PXzpqXpA,https://www.youtube.com/shorts/E4b5OB2P7r8,18.0,14773701.0,
rt-dvADnNJw,Kannada comedy #kannada #kannadacomedy #kannadanews #dboss #shorts #shortsvideo #funny #comedy #fun,Myview0.7,UCl1iqrmMEE6e0cFkcpeQZ_A,https://www.youtube.com/shorts/rt-dvADnNJw,20.0,17405428.0,
NBRrgKlr6Lk,Chanda mama baro | kids dance | easy dance | Kannada |,Anvi's Dance Studio,UCJpbR_IYsK_H9IOoG-ohVSg,https://www.youtube.com/watch?v=NBRrgKlr6Lk,170.0,34562293.0,
TNFXSKbQ3JA,Mehabooba Video Song (Kannada) | KGF Chapter 2 | RockingStar Yash | Prashanth Neel | Ravi Basrur,Lahari Music | T-Series,UCnSqxrSfo1sK4WZ7nBpYW1Q,https://www.youtube.com/watch?v=TNFXSKbQ3JA,243.0,20249835.0,
CG2mbfm0Xj0,New Kannada songs ❤️#sizequeen #aikannada #kannada #kannadaai #aitamil #tamilai #aitelugu #teluguai,size queen,UClYyQiyJV4VeZdiZCPBPb8w,https://www.youtube.com/shorts/CG2mbfm0Xj0,6.0,42149.0,
xbNxOC9tuDo,Kirik Party Movie Cast | Kannada Movie | Sandalwood | #thenandnow #movie #casting #kfi #kannada #yt,KFI Cast,UCj26R9UPc51sKlvMQgq5h2Q,https://www.youtube.com/shorts/xbNxOC9tuDo,59.0,877986.0,
z1ZhLnKHPHM,ನಂದು ಕಸ್ತೂರಿ ಐತಿ ಕನ್ನಡ 💛❤️ #janapada #kannadareels #kannada #janapadasong #viralvideo,Devu_kannadiga_17,UClcl2gIPn4zAJkujvjOEzQg,https://www.youtube.com/shorts/z1ZhLnKHPHM,18.0,9366614.0,
RFGBlowuKMY,🔴 LIVE | Karnataka Legislative Assembly Session 2025: ವಿಧಾನಸಭೆ ಅಧಿವೇಶನ-2025 ನೇರಪ್ರಸಾರ | #tv9d,Tv9 Kannada,UC8dnBi4WUErqYQHZ4PfsLTg,https://www.youtube.com/watch?v=RFGBlowuKMY,42901.0,22459.0,
cQIS4s66hYg,🥺 | Amma I Love You | Chiranjeevi Sarja | Sun NXT Kannada,Sun NXT Kannada,UCCnC56Bsc1z_R55KdNFq5MA,https://www.youtube.com/shorts/cQIS4s66hYg,43.0,10035386.0,
t9r7lfSIoo4,No Problem | Vajrakaya Full HD Video | Shivarajkumar | Shubra Aiyappa | Dhanush | Kannada Songs,Anand Audio,UCLtCejNl8eAg4PO_9lf2TIg,https://www.youtube.com/watch?v=t9r7lfSIoo4,246.0,22407228.0,
