video_id,title,uploader,channel_id,video_url,duration_sec,view_count,upload_date
1wECsnGZcfc,24 News Live TV |  Live Updates | Malayalam News Live | HD Live Streaming | 24 News,24 News,UCup3etEdjyF1L3sRbU-rKLw,https://www.youtube.com/watch?v=1wECsnGZcfc,,,
U-lsPbfaOX4,ആശയുടെ കാര്യത്തിൽ ഇവൻ Updated  ആണ് | Happy Wedding | Siju Wilson | Sun NXT Malayalam,Sun NXT Malayalam,UC26UNezdPZfGkRnxX3fVWGA,https://www.youtube.com/watch?v=U-lsPbfaOX4,884.0,133698.0,
nObUcHKZEGY,Reporter TV Live | Reporter Big Breaking | Rahul Mamkootathil | Live Updates | Malayalam News,REPORTER LIVE,UCFx1nseXKTc1Culiu3neeSQ,https://www.youtube.com/watch?v=nObUcHKZEGY,,,
D12Quxvt_x8,പട്ടാളക്കാരുടെ മരണസംഖ്യ ഉയരുന്നു I world news update I NEWS INDIA MALAYALAM,NEWS INDIA MALAYALAM,UCnlkR44CCEXJ-EQkHLWhIYQ,https://www.youtube.com/watch?v=D12Quxvt_x8,184.0,22635.0,
tXRuaacO-ZU,Asianet News Live | Malayalam News Live | Kerala News Live | ഏഷ്യാനെറ്റ് ന്യൂസ് | Vazhoor Soman,asianetnews,UCf8w5m0YsRa8MHQ5bwSGmbw,https://www.youtube.com/watch?v=tXRuaacO-ZU,,,
7sw6DuSi3HQ,World Music Day 2025 | Malayalam Jukebox | Superhit Songs | Latest Malayalam Hits Collection,Malayalam Super Hit Songs,UCv5_x-4PRG9td3R3Vcl3JUQ,https://www.youtube.com/watch?v=7sw6DuSi3HQ,6259.0,782457.0,
CbaQz-cjmRs,Love Square | Episode 07 | Malayalam Short Film | Keerthan M Dinesh,Touchings,UCEzyiJhSxfRKWdQGE-SjrjQ,https://www.youtube.com/watch?v=CbaQz-cjmRs,526.0,41528.0,
-8d8-c0yvyU,MediaOne TV | Rahul Mamkootathil Updates | Malayalam Live News 24x7 | HD Live Streaming,MediaoneTV Live,UC-f7r46JhYv78q5pGrO6ivA,https://www.youtube.com/watch?v=-8d8-c0yvyU,,,
f4qOrtrv-bA,ചിങ്ങംഅഞ്ച് വ്യാഴാഴ്ച കേൾക്കേണ്ട ശ്രീകൃഷ്ണസന്ധ്യാനാമങ്ങൾ| Sree Krishna Songs Malayalam |Sandhyanamam,CL Records Bhakthi Malar,UCW_AcRLrWwcHt8ZCK5ScYsw,https://www.youtube.com/watch?v=f4qOrtrv-bA,14837.0,10780.0,
JpAwGOW9lqU,"Duppattawaali|Odum Kuthira Chaadum Kuthira|Fahadh Faasil, Kalyani|Justin Varghese|Althaf|Ashiq Usman",Muzik247,UChRi1dpwnsZcIo1LSwzY0Iw,https://www.youtube.com/watch?v=JpAwGOW9lqU,263.0,185605.0,
lB6YqUXhnkE,Dileep Funny Malayalam movie Comedy Scenes | manoramaMAX  | Voice of Sathyanathan,manoramaMAX,UCz1ht-a2eKE_s1vMh3OHtIg,https://www.youtube.com/watch?v=lB6YqUXhnkE,484.0,880395.0,
XKU5qim784U,ചിങ്ങം ആറ് വെള്ളിയാഴ്ച ദിവസം കേൾക്കേണ്ട ദേവീ ഭക്തിഗാനങ്ങൾ | Devi Devotional Songs Malayalam |Bhakthi,CL Records Bhakthi Malar,UCW_AcRLrWwcHt8ZCK5ScYsw,https://www.youtube.com/watch?v=XKU5qim784U,,,
uYnqm29VwFU,ജീപ്പ് എടുക്കടാ..! പൊങ്ങണില്ല സാർ 🤣😂 | Malayalam Comedy | Harisree Ashokan | Cochin Haneefa,Malayalam Comedy Scene,UC3xiydT8ln9cSGudddUd8Hg,https://www.youtube.com/watch?v=uYnqm29VwFU,982.0,424695.0,
tfsvIueJGOg,മുസ്ലീം മുഖ്യമന്ത്രി ? | അഡ്വ. ജയശങ്കർ സംസാരിക്കുന്നു | ABC MALAYALAM NEWS | JAYASANKAR VIEW,ABC Malayalam News,UCkUxJ_xu03qlSbv626IZROg,https://www.youtube.com/watch?v=tfsvIueJGOg,551.0,60201.0,
mH0YTWkq4yo,Comedy Scene in Malayalam Movie Kurukkan | manoramaMAX | Vineeth Sreenivasan | Malavika Menon,manoramaMAX,UCz1ht-a2eKE_s1vMh3OHtIg,https://www.youtube.com/watch?v=mH0YTWkq4yo,502.0,655540.0,
