video_id,title,uploader,channel_id,video_url,duration_sec,view_count,upload_date
m0MD6Ukm0cQ,ABP Majha LIVE | Maharashtra Rain Updates | Mumbai Potholes | Mahayuti vs MVA | Marathi News 24*7,ABP MAJHA,UCH7nv1A9xIrAifZJNvt7cgA,https://www.youtube.com/watch?v=m0MD6Ukm0cQ,,,
Igi6mRmPeqA,Tv9 Marathi News Top Headline Today | 22 August 2025 | 7 AM | 4 Minute 24 Headline Maharashtra,TV9 Marathi,UCdOSeEq9Cs2Pco7OCn2_i5w,https://www.youtube.com/watch?v=Igi6mRmPeqA,154.0,37677.0,
hfwPLazLbd4,TV9 Marathi News LIVE |  Maharashtra Politics | Devendra Fadnavis | Rain Update | Shinde | Pawar,TV9 Marathi,UCdOSeEq9Cs2Pco7OCn2_i5w,https://www.youtube.com/watch?v=hfwPLazLbd4,,,
TO578cVRmpM,TV9 Marathi News LIVE | Thackeray | Fadnavis | Shinde | Maharashtra Rain Update | Pawar,TV9 Marathi,UCdOSeEq9Cs2Pco7OCn2_i5w,https://www.youtube.com/watch?v=TO578cVRmpM,,,
Hj206ixfXsY,Tv9 Marathi हेडलाईन्स | Tv9 Marathi News Headline | 6:30 AM | 22 August 2025 | Headlines,TV9 Marathi,UCdOSeEq9Cs2Pco7OCn2_i5w,https://www.youtube.com/watch?v=Hj206ixfXsY,145.0,19820.0,
-Oj1z-vZebM,TV9 Marathi News LIVE | Devendra Fadnavis | Mumbai Rain Update | Shinde | Ajit Pawar | | Thackeray,TV9 Marathi,UCdOSeEq9Cs2Pco7OCn2_i5w,https://www.youtube.com/watch?v=-Oj1z-vZebM,,,
13kXfFlfUdQ,LIVE | SaamTV | Maharashtra Rain | Yellow Alert In Mumbai | Raj Thackeray Meets CM Fadnavis,Saam TV News,UC6cxTsUnfSZrj96KNHhRTHQ,https://www.youtube.com/watch?v=13kXfFlfUdQ,,,
L8wgWdLFqI0,Kamali | Ep - 46 | Preview | Aug 21 2025 | Zee Marathi,Zee Marathi,UC82o9tQyo_cJhtyoFi-ROEw,https://www.youtube.com/watch?v=L8wgWdLFqI0,32.0,78972.0,
GpWSH71ZPDU,Tv9 Marathi News Top Headline Today | 21 August 2025 | 8 PM | 4 Minute 24 Headline Maharashtra,TV9 Marathi,UCdOSeEq9Cs2Pco7OCn2_i5w,https://www.youtube.com/watch?v=GpWSH71ZPDU,219.0,70283.0,
z9ujx6zrGhE,Morning News LIVE | सकाळच्या बातम्या | 22 August 2025 | TV9 Marathi Latest Update,TV9 Marathi,UCdOSeEq9Cs2Pco7OCn2_i5w,https://www.youtube.com/watch?v=z9ujx6zrGhE,,,
6bACAL1y7_s,Wait for twist🤣😂 #marathi #comedy #comedyshorts #comedyvideo #funny,pranit che vlog!,UCRKerJ5SqFdjtCN4CmRbcKA,https://www.youtube.com/shorts/6bACAL1y7_s,16.0,3324612.0,
3RycPa9krns,Yeda Yung Mashup | 2025 | Marathi Rap Mashup | Bollywood Rap Mashup | Sambata | Divine | DJ Vaibhav,DJ Vaibhav In The Mix,UCvwOxSqmmi5I25bSTPpPkFg,https://www.youtube.com/watch?v=3RycPa9krns,556.0,13696941.0,
11ONRseSEGQ,Morning News LIVE Updates | Maharashtra Rain | Maharashtra Politics | Marathi News | ABP Majha,ABP MAJHA,UCH7nv1A9xIrAifZJNvt7cgA,https://www.youtube.com/watch?v=11ONRseSEGQ,,,
aRJCwAdgNFk,tv9 Marathi Special Report | Vice President Election ची मतं Devendra Fadnavis फिरवणार?,TV9 Marathi,UCdOSeEq9Cs2Pco7OCn2_i5w,https://www.youtube.com/watch?v=aRJCwAdgNFk,294.0,33777.0,
Ubvs8fh0Dtk,Julali Gaath Ga - Promo |  Daily 8:45 Pm  | Marathi Serial| Sun Marathi,Sun Marathi,UCHgEMJphz7WDGqDGyyuqDNw,https://www.youtube.com/watch?v=Ubvs8fh0Dtk,20.0,260540.0,
MRongfdk7H0,Marathi vs Hindi | Harsh Rajput,Harsh Rajput,UCs4RzXHKYBXHqYne2MWCDBA,https://www.youtube.com/watch?v=MRongfdk7H0,836.0,6529152.0,
teNwrubGj60,Aadhir Man Jhale ( slowed and reverb ) | Nilkant Master | Pooja Savant | 2021 | Marathi lofi,Tushar,UCe2w66FO1G6nB4SNCkU5KtQ,https://www.youtube.com/watch?v=teNwrubGj60,303.0,9671627.0,
HY8Y_uqnVzU,Khel Mandala | Natarang | Ajay-Atul | Atul Kulkarni | Guru Thakur | Lyrical,Zee Music Marathi,UCf40kH47yvowumzzK9LVKKg,https://www.youtube.com/watch?v=HY8Y_uqnVzU,299.0,9183266.0,
LaCpJK2gJ7k,Suniel Shetty on Marathi : ‘मुंबईत राहून मराठी बोलणं…’ सुनील शेट्टीने काय म्हटलं? | BBC News Marathi,BBC News Marathi,UC7pluR6rB5KZIbN2IxamzxQ,https://www.youtube.com/shorts/LaCpJK2gJ7k,37.0,1181270.0,
5ItC96TlX6I,🕉️ Swami Samarth Bhakti Geet | जिंकण्याचा मोह नाही.. हरण्याचे भय नाही | Marathi Devotional Song 2025,Bhakti chhand ( भक्ती छंद ),UCorsWAF7N6jGiAquB2doBNg,https://www.youtube.com/watch?v=5ItC96TlX6I,279.0,4717330.0,
rpvHKhStfZg,CM Fadnavis | '...तर अटक होईल',TV9 Marathi,UCdOSeEq9Cs2Pco7OCn2_i5w,https://www.youtube.com/shorts/rpvHKhStfZg,33.0,1434607.0,
-1AUBF5lsbg,EK NUMBER TUZI KAMBAR 🔥 | Sanju Rathod x Isha Malviya | New Marathi Song Status | Shaky Shaky,Rnav Creation,UCf9Mjse25OTUR6tp2fM1DPA,https://www.youtube.com/shorts/-1AUBF5lsbg,28.0,4378247.0,
fmgVAf4n3RY,Main hoon #marathi #shorts #youtubeshorts #trending #love,Anjali bai offical ,UC8IkvPCE_7-SoLoVZq8bMnA,https://www.youtube.com/shorts/fmgVAf4n3RY,29.0,36693010.0,
1H47Q53lX1k,अंगाई 2.0 lyrics👩‍👧Sonali sonawane ~ Lyrics Marathi #writing #lyrics,LYRICS_MARATHI,UCSdjnQNZY0_prfR3tRqyqvg,https://www.youtube.com/shorts/1H47Q53lX1k,61.0,477257.0,
xSC7RB9xaQI,Bach gaya #marathi #shorts #youtubeshorts #funny #love,Anjali bai offical ,UC8IkvPCE_7-SoLoVZq8bMnA,https://www.youtube.com/shorts/xSC7RB9xaQI,10.0,42664478.0,
gpxofjVlBVA,Mala Pawasat Jau De | आई मला पावसात जाऊ दे | Marathi Rain Song Jingle Toons,Jingletoons Marathi,UC4WbPrDz80xWhm__jTYr1zQ,https://www.youtube.com/watch?v=gpxofjVlBVA,366.0,101240977.0,
yIIAfNHi8Zk,Marathi Jews chilling in Israel 🇮🇳🇮🇱 #indiaisrael #indiaisraelrelation #indianinisrael #marathi,Moses in Israel,UCPajjY4-fZQCOLrPPoeWTfQ,https://www.youtube.com/shorts/yIIAfNHi8Zk,27.0,205917.0,
rhTphXiKyGA,Marathis don't just speak Marathi! 🫡,KK Create,UCkw1tYo7k8t-Y99bOXuZwhg,https://www.youtube.com/shorts/rhTphXiKyGA,48.0,2010542.0,
