video_id,title,uploader,channel_id,video_url,duration_sec,view_count,upload_date
vJxeefIR2Pc,LIVE | ସକାଳର ଖବର | 7AM Bulletin | 22nd August 2025 | Odia News | OTV,OTV,UCCgLMMp4lv7fSD2sBz1Ai6Q,https://www.youtube.com/watch?v=vJxeefIR2Pc,,,
A2hgu_eNAdc,🌟 Sunayana | ସୁନୟନା | Full Episode 475 | 21st Aug 2025 | Odia Mega Serial | Sidharth TV | @7:30PM,Sidharrth TV,UCbBWncD3X_dfXwxmj4KwJnA,https://www.youtube.com/watch?v=A2hgu_eNAdc,1333.0,172648.0,
9T7VpBKdu68,OTV Live 24x7 | Latest News Updates Live | National News In Odia | Odisha Rain News |Weather Updates,OTV,UCCgLMMp4lv7fSD2sBz1Ai6Q,https://www.youtube.com/watch?v=9T7VpBKdu68,,,
my1DkPUM9RU,S.I.R odia is live | LTR case | SSB TGT updates,S.I.R odia,UCgqPOio-2AozoH-PC9_cz9Q,https://www.youtube.com/watch?v=my1DkPUM9RU,2690.0,16317.0,
B1KILHvQHU8,Top 10 Odia Jagannath Bhajan 2025 | Sourav Bharadwaj Hits,The MindFiX,UCgsMJf2SOpzIMkgxXsQ4zMw,https://www.youtube.com/watch?v=B1KILHvQHU8,3110.0,849587.0,
XyGXNamwVls,A MO DIL!!MANTU CHURIA & ANAMIKA ACHARYA!!NEW ODIA SONG 2021!!TN PRODUCTION,TN production,UCLqTmLTr2G6DPaI4yxVduRg,https://www.youtube.com/watch?v=XyGXNamwVls,370.0,10249545.0,
H7kEQq2grsA,"Monsoon Special Best Odia Songs | Romantic Hits | Humane Sagar, Pragyan Hota, Aseema Panda | Jukebox",OdiaNews 24,UC-bOImwLtyYyVuKRt6KV6Lg,https://www.youtube.com/watch?v=H7kEQq2grsA,2763.0,103585.0,
Ef51EZa13OY,Kacha Aaina Te Hei | Sourav Bharadwaj | Ananya Sritam Nanda | New Odia Romantic Song |Studio Version,DEEP MUSIC ODIA,UCbaACNK7xIyctLokud0J0Wg,https://www.youtube.com/watch?v=Ef51EZa13OY,293.0,2732864.0,
hjEdsInXHek,Ajira Rashifala | 22 August 2025 ଶୁକ୍ରବାର | Today Odia Horoscope | Ajira Rasifala Prediction,Odia Gyana Mandira,UCKGdt06ga3XQHBswNqmh1Rg,https://www.youtube.com/watch?v=hjEdsInXHek,1248.0,6475.0,
auCXMrcCHVY,🔴Live | ଏମାନଙ୍କର କଟିବ ରାସନକାର୍ଡ | Ration Card | Latest Update | Odia News | Kanak News,Kanak News,UC90RW5ZmBBqp4r2QIQxfACA,https://www.youtube.com/watch?v=auCXMrcCHVY,11771.0,14524.0,
