video_id,title,uploader,channel_id,video_url,duration_sec,view_count,upload_date
cWMxCE2HTag,SOFTLY (Official Music Video) KARAN AUJLA | IKKY | LATEST PUNJABI SONGS 2023,Karan Aujla,UC3XBkDeCVXCoCofFgfUZXGw,https://www.youtube.com/watch?v=cWMxCE2HTag,171.0,384484638.0,
6kBkiENmCag,KOKA GAANI (Official Video) | Ranjit Bawa | Bunty Bains | Desi Crew | New Punjabi Song 2025,Brand B,UCO1vEFjpDAZrQpg07yHhZhg,https://www.youtube.com/watch?v=6kBkiENmCag,162.0,27668900.0,
Qxe-cGWkQLk,Nonstop Punjabi Mashup 2025 | Shubh ft. Sonam Bajwa | Ap Dhillon | Nonstop Jukebox 2025 | AKSH Music,AKSH MUSIC,UC97U6vJM8XN0L54DcXDVFDg,https://www.youtube.com/watch?v=Qxe-cGWkQLk,2074.0,3177174.0,
XVEVM-K98To,PUNJABAN - SUKHA | MANNI SANDHU (OFFICIAL VIDEO),SUKHA,UCz3wJeHuOA9TvQEJ_xbpzZQ,https://www.youtube.com/watch?v=XVEVM-K98To,178.0,9912111.0,
qs-1sPi1B7I,Nonstop Punjabi Mashup 2025 - Shubh Ft. Sonam Bajwa | Nonstop Jukebox | Afterhour Music,Afterhour Music,UCDZRWfHS7-3P7wDKa_dEI2Q,https://www.youtube.com/watch?v=qs-1sPi1B7I,2808.0,554298.0,
tHG8CT5kwnU,"New Comedy Movie 2025 - Binnu Dhillon, Amrinder Gill, Yuvraj Hans | Latest Punjabi Movie 2025",Punjabi Filmi Station,UCY4LAw90QUoy1UxzgnSMPCQ,https://www.youtube.com/watch?v=tHG8CT5kwnU,4922.0,1432198.0,
Fbv6-50S1lc,MF GABHRU! (Official Video) KARAN AUJLA | IKKY | Latest Punjabi Songs 2025,Karan Aujla,UC3XBkDeCVXCoCofFgfUZXGw,https://www.youtube.com/watch?v=Fbv6-50S1lc,211.0,46352868.0,
Z8IRRphKFZA,COURTSIDE (OFFICIAL MUSIC VIDEO) KARAN AUJLA  | LATEST PUNJABI SONGS 2025,Karan Aujla,UC3XBkDeCVXCoCofFgfUZXGw,https://www.youtube.com/watch?v=Z8IRRphKFZA,172.0,74648865.0,
p3ICY8aj8s8,2 Duni 4 (Official Video) | R Nait | Gurlez Akhtar | Latest Punjabi Song 2025,One Take Worldwide,UChYK8MU-mE0VNjzC4HzjWaA,https://www.youtube.com/watch?v=p3ICY8aj8s8,226.0,3906033.0,
YOQLbW9NeBM,Banda Bamb (Official Music Video) Jordan Sandhu | Latest Punjabi Songs 2025,Jordan Sandhu,UCSn2nfmPrDewkgEdEpyE1UQ,https://www.youtube.com/watch?v=YOQLbW9NeBM,184.0,10240175.0,
rSxTumD4kew,CALIFORNIA LOVE (Official Video) Cheema Y | Gur Sidhu | Punjabi Song 2023,Brown Town Music,UColNRmGBE3dNzJ89zZZOh2Q,https://www.youtube.com/watch?v=rSxTumD4kew,157.0,271760692.0,
G8PU1HjZZj4,LEHNGA : DILJIT DOSANJH | NEERU BAJWA | LATEST PUNJABI SONGS 2024 | NEW PUNJABI SONGS 2024,Speed Records,UCOsyDsO5tIt-VZ1iwjdQmew,https://www.youtube.com/watch?v=G8PU1HjZZj4,168.0,270072216.0,
