video_id,title,uploader,channel_id,video_url,duration_sec,view_count,upload_date
WPWNt8qhx94,Mega Blast Glimpse | Vishwambhara | Megastar Chiranjeevi | Trisha  | Vassishta | MM Keeravani,UV Creations,UCmse5JbKneJqVyerfhDVYvQ,https://www.youtube.com/watch?v=WPWNt8qhx94,75.0,2386986.0,
9RHHAGbl2Pw,MEGA Melodies - Jukebox | Chiranjeevi All Time Hit Songs | Telugu Evergreen Hit Songs | Telugu Songs,Aditya Music,UCNApqoVYJbYSrni4YsbXzyQ,https://www.youtube.com/watch?v=9RHHAGbl2Pw,6661.0,7107.0,
H-NGGPw97JA,LIVE: మియాపూర్ లో దారుణం..| Miyapur Family Tragic Incident | Telangana Latest News | Telugu Rajyam,Telugu Rajyam,UCavbcf9DMUNY6WVY3bkn5JQ,https://www.youtube.com/watch?v=H-NGGPw97JA,,,
mKOJhT9BODI,MEGA BLAST Announcement | Vishwambhara | Megastar Chiranjeevi | Trisha  | Vassishta | MM Keeravaani,UV Creations,UCmse5JbKneJqVyerfhDVYvQ,https://www.youtube.com/watch?v=mKOJhT9BODI,118.0,899751.0,
x6OaIcF3hbQ,Monica - Telugu Song| COOLIE | Superstar Rajinikanth | Sun Pictures | Lokesh | Anirudh | Pooja Hegde,Gemini TV,UCN2KBcMDJyCWB57K7i_Z10g,https://www.youtube.com/watch?v=x6OaIcF3hbQ,189.0,31184068.0,
G8lAFOqRvNg,News 100 LIVE | Speed News | News Express | 22-08-2025 - TV9,TV9 Telugu Live,UCPXTXMecYqnRKNdqdVOGSFg,https://www.youtube.com/watch?v=G8lAFOqRvNg,,,
Wc5Yb667HFU,Telugu Latest Movie Siddharth Interesting Scene | Telugu Movies | Cinema Chupistha,Cinema Chupistha,UCCRMyhlA9iS9143NHrZLreA,https://www.youtube.com/watch?v=Wc5Yb667HFU,821.0,14735.0,
wLBiaIigJ5c,"9 PM | ETV Telugu News | 21st August ""2025",ETV Andhra Pradesh,UCJi8M0hRKjz8SLPvJKEVTOg,https://www.youtube.com/watch?v=wLBiaIigJ5c,1444.0,176210.0,
BB_drzuSoDg,Viswambhara Teaser Troll | Mega Blast Glimpse | Chiranjeevi | Telugu Trolls | Mr.Massabbayi,Mr.Massabbayi,UCNe9xL828B-kQxA35qfqIHA,https://www.youtube.com/watch?v=BB_drzuSoDg,239.0,1624.0,
MJswXGjdXMw,Marwadi Go Back Controversy LIVE Updates | మార్వాడీ షాపులు బంద్‌ | Telangana News | BIG TV,BIG TV Live,UCN1MXjng-rot-pglSJJ9SCA,https://www.youtube.com/watch?v=MJswXGjdXMw,42900.0,104735.0,
v_TvwPyPeGM,Venky Telugu Movie || Ravi Teja Back To Back Comedy Scenes || iDream,iD Avanigadda,UCkvxLZOdZ2Uzu1G9OEwwF0Q,https://www.youtube.com/watch?v=v_TvwPyPeGM,1166.0,424.0,
vxI0hCZQ1lU,TVK Madurai Maanaadu | Vijay | Public Speech | NTV Telugu,NTV Telugu,UCumtYpCY26F6Jr3satUgMvA,https://www.youtube.com/watch?v=vxI0hCZQ1lU,248.0,14291.0,
-OMrlu_KYAY,Chamanthi | Ep - 204 | Preview | Aug 21 2025 | Zee Telugu,Zee Telugu,UC3PYGKK29qJ0zu-eEthHK4g,https://www.youtube.com/watch?v=-OMrlu_KYAY,42.0,167817.0,
SCHwee_tqLo,Kothapallilo Okappudu Telugu Movie Trailer | Rana Daggubati | Praveena Paruchuri |Premieres 22nd Aug,aha videoIN,UCmO-jDLU-KUcweCzktuDsbg,https://www.youtube.com/watch?v=SCHwee_tqLo,126.0,24966.0,
Z8J9OIH3A4s,Unstoppable With NBK | No Marriage.. No Kids | Telugu Talk Shows | Puri Jagannadh | Aha,aha videoIN,UCmO-jDLU-KUcweCzktuDsbg,https://www.youtube.com/watch?v=Z8J9OIH3A4s,355.0,286032.0,
MpN5lKbvR64,The End 😂😂 |Indian family #shorts #indian #relatable #chotabhai #school,PR PRESENTS - Telugu,UC8FqLpnbxRNpNmDuxNHuHHA,https://www.youtube.com/shorts/MpN5lKbvR64,51.0,345505421.0,
ThHI23QsL_c,"4.30 PM | ETV Telugu News | 21st August ""2025",ETV Andhra Pradesh,UCJi8M0hRKjz8SLPvJKEVTOg,https://www.youtube.com/watch?v=ThHI23QsL_c,822.0,159538.0,
KGQbj6r-L-Q,"Let's Live This Moment (Telugu) Full Video Song | Junior | Kireeti, Sreeleela | Radha Krishna | DSP",Aditya Music,UCNApqoVYJbYSrni4YsbXzyQ,https://www.youtube.com/watch?v=KGQbj6r-L-Q,263.0,69199.0,
kw3YKqkgbUA,Varshini birthday celebration❤️#ishqyouall #swv #telugu #youtube #shortvideo,Soundarya with Varshini - Telugu,UCWSi7db-mTtZGLbONzZGl9Q,https://www.youtube.com/shorts/kw3YKqkgbUA,52.0,2377915.0,
25a5dvZA8Lo,Vennela Kishore And Sree Kamal Telugu SuperHit Full Comedy Scene | Usha Parinayam Movie |Volga Video,Volga Video,UCIeNlITYK46VkR7yIuTL8GQ,https://www.youtube.com/watch?v=25a5dvZA8Lo,627.0,26824.0,
N5cBUn44HGI,Ashok vibes | Telugu comedy shorts | like and subscribe | #comedy,ashok vibes,UCiV4LJbKvQs3SblkKAoRNSA,https://www.youtube.com/shorts/N5cBUn44HGI,70.0,10531422.0,
ag7sKKV4-OU,Pelli chuupulu part 14 | kirrak ramya | Telugu comedy shorts | like and subscribe | #comedy,kirrak ramya,UC1tef4SjbZHAzA9iSEZTTcQ,https://www.youtube.com/shorts/ag7sKKV4-OU,61.0,2481289.0,
AXv0CkvwKOg,Manam iddaram ee samvatsaram pelli cheseskundam.😆😅#ntr #prakashraj #temper #telugu #trending,AJ AniMagic,UCexH5IpDskusAPMxaso5V5g,https://www.youtube.com/shorts/AXv0CkvwKOg,21.0,733300.0,
sUuLY8-LjKM,"Vibe Undi - Lyrical | Mirai | Teja Sajja, Ritika Nayak | Karthik Gattamneni |Gowra Hari|Armaan Malik",Tips Telugu,UC2V5vzgmEmoiWqXfM2jN5_w,https://www.youtube.com/watch?v=sUuLY8-LjKM,214.0,19871169.0,
