video_id,title,uploader,channel_id,video_url,duration_sec,view_count,upload_date
CWluWTpFTFA,Surah Yasin | Surat Yaseen with Urdu Translation | Quran Tilawat Beautiful Voice | Hindi Tarjuma,Muhammad Ali,UCSs5mehC-g9qDmIZWFe0a6Q,https://www.youtube.com/watch?v=CWluWTpFTFA,1571.0,58370772.0,
dXxh8tmUimc,Quran-Para01/30-Urdu Translation,Quran Channel,UCn3sQ4JYlPD49rKEACwA5MQ,https://www.youtube.com/watch?v=dXxh8tmUimc,5406.0,132285707.0,
ZvBBKGKaaZE,حضرت یوسف تمام ابواب |  اردو ڈب | Urdu Dubbed | Joseph The Prophet All Episodes,Prophet Yousuf - Joseph The Prophet,UCdNTEJJPjXi9e0GwHma47Iw,https://www.youtube.com/watch?v=ZvBBKGKaaZE,128748.0,28555479.0,
duEwUbt2064,Urdu lines 🥺🥀💔 #4line #poetry #quotes #unfrezzmyaccount #shayari #line #urdulines #urduquotes #sad,Ali z,UCksq0US4Kw5U_Xc2kUKxV3g,https://www.youtube.com/shorts/duEwUbt2064,6.0,358732.0,
V9wgUupnyQ0,Ayesha Name Song In Urdu! 🇵🇰🥰🎶 K3 Sisters #shorts #pakistan #urdu #song #music #viral #band #fyp,K3 Sisters Band,UCyd1FQbwxPyOACQuYgFzsJg,https://www.youtube.com/shorts/V9wgUupnyQ0,10.0,5894137.0,
ZkZwuvivYts,"War LIVE :Palestine Warto Stop?Big Deal | Hamas|Ceasefire, Israel|Hostage Release |Qatar,Egypt |N18G",News18 Urdu,UC9IQhNgS43lmUdU-KdGyb0A,https://www.youtube.com/watch?v=ZkZwuvivYts,6985.0,1478.0,
ThGABqsoigQ,Emotional but Heart Touching Story - Urdu Hindi Kahani - Sacha waqia - Moral Hindi stories #286,Fiber Story,UCKf6CY_BFJwKLeZmZhTqP0w,https://www.youtube.com/watch?v=ThGABqsoigQ,2690.0,1421.0,
zQY-04XC840,Ayatul Kursi  (Full) || By Osama Azhar || With Urdu Translation Full  (HD)- {آیت الکرسی },Daily Tilawte Quran,UC0JzvnKz2XTzi1cpE3ljEFA,https://www.youtube.com/watch?v=zQY-04XC840,157.0,127524264.0,
PjmkP7g9W_s,Urdu lines 🥺❤️🥀 #song #coversong #jubinnautiyal #arijitsingh #bollywood #4line #urdulines #urdu,Ali z,UCksq0US4Kw5U_Xc2kUKxV3g,https://www.youtube.com/shorts/PjmkP7g9W_s,7.0,2921364.0,
9uM16GIXV9k,jo krte hein mohbat||urdu ghazal in urdu ||urdu ghazal best ||#whatsappstatus #urdughazal,Muhammad iqbal,UCguPVTdeubqP5ob_v0hII8g,https://www.youtube.com/shorts/9uM16GIXV9k,8.0,2187874.0,
zjEH4lApFe0,🔴News18 Urdu LIVE:Omar Abdullah visit kishtwar |Kishtwar Cloud Brust  |Rain Red Alert  |PM Modi |N18,News18 Urdu,UC9IQhNgS43lmUdU-KdGyb0A,https://www.youtube.com/watch?v=zjEH4lApFe0,,,
mlfwk3QqYkg,Sentences in English with Urdu translation #sentence #sentencesinenglish #english #urdu #translation,English Unlocked ,UC86rqHYAlE6-a30xAImNgQg,https://www.youtube.com/shorts/mlfwk3QqYkg,5.0,951853.0,
viwTs_XsmRw,Hindi vs. Urdu vs. Farsi vs. Turkish: Food,Babbel,UC1cyg1VSTs0LDarTxDEHMdQ,https://www.youtube.com/shorts/viwTs_XsmRw,45.0,9071353.0,
vsug-Vy9Ank,New urdu poetry ♥️🥀 #shayari #poetry #urdu #shayari #love #shorts,Risal Poetry,UCMJdXiOvRRFl67iJreWmsgg,https://www.youtube.com/shorts/vsug-Vy9Ank,6.0,1330027.0,
etmYJJDWB64,"Urdu Novel ""ملاقاتِ عشق"" Ek Mulaqat Mein Tabahi Ka Raaz | Full Urdu Romantic Story |Bold Novel Story",ClassicUrduNovels,UCtawu1YjgdBbKh-so2FwQtA,https://www.youtube.com/watch?v=etmYJJDWB64,2260.0,4126.0,
LE69SotJULs,Are Hindi and Urdu the same Language?,Babbel,UC1cyg1VSTs0LDarTxDEHMdQ,https://www.youtube.com/shorts/LE69SotJULs,46.0,100634.0,
WJMJrghKWjI,Kismat Ka Khel | Urdu Moral Stories | sabaq amoz kahani | Islamic Moral Stories | Purane Qisse,Purane Qisse,UCHAzbz4IjKpiTrOrK0hv5rw,https://www.youtube.com/watch?v=WJMJrghKWjI,1171.0,604017.0,
FytgnmrmhJQ,Urdu sounds that don't exist in Hindi! 😯,KK Create,UCkw1tYo7k8t-Y99bOXuZwhg,https://www.youtube.com/shorts/FytgnmrmhJQ,56.0,10116432.0,
