Channelid,subscribercount,channelname,total_estimated_revenue,total_views,video_count
UCX6OQ3DkcsbYNE6H8uQQuVA,424000000,MrBeast,427132797.4,4271327974,8
UCq-Fj5jknLsUf-MWSy4_brA,301000000,T-Series,4963989617,49639896172,174
UCbCmjCuTUZos6Inko4u57UQ,196000000,Cocomelon - Nursery Rhymes,8974843.3,89748433,2
UCpEhnqL0y41EpW2TvWAHD7Q,186000000,SET India,4502767.3,45027673,10
UCk8GzjMOrta8yxDcKfylJYw,136000000,✿ Kids Diana Show,114853277.7,1148532777,6
UCJplp5SjeGSdVdwsfb9Q7lQ,130000000,Like Nastya,44258568.7,442585687,3
UCFFbwnve3yF62-tVXkTyHqg,120000000,Zee Music Company,726739837.6,7267398376,27
UCJ5v_MCY6GNUBTO8-D3XoAg,110000000,WWE,24807346.2,248073462,7
UCyoXW-Dse7fURq30EWl_CUA,106000000,Goldmines,88314156.6,883141566,6
UCBnZ16ahKA2DZ_T5W0FPUXg,97200000,ChuChu TV Nursery Rhymes & Kids Songs,949770159.9,9497701599,3
UC5gxP-2QqIh_09djvlm9Xcg,96100000,Alan's Universe,39243310.6,392433106,1
UCppHT7SZKKvar4Oc9J4oljQ,93700000,Zee TV,1172497.3,11724973,18
UC55IWqFLDH1Xp7iu1_xknRA,80900000,Colors TV,261444.5,2614445,2
UCaayLD9i5x4MmIoVZxXSv_g,78300000,T-Series Bhakti Sagar,72255026.9,722550269,24
UCJrDMFOdv1I2k8n9oK_V21w,78000000,Tips Official,239154399.7,2391543997,31
UCL5nlHWXVLeOsSjKH2fhmsg,76200000,KL BRO Biju Rithvik,956236789.8,9562367898,15
UCPuEAY09CtdTzFNWuqVZgDw,75100000,Topper Guild,348602.1,3486021,1
UCt4t-jeY85JegMlZ-E5UWtA,73300000,Aaj Tak,42880.8,428808,3
UCP6uH_XlsxrXwZQ4DlqbqPg,73000000,Shemaroo Filmi Gaane,49188603.7,491886037,6
UC1ciY6kR3yj3kaKZ6R7ewAg,70800000,Infobells - Hindi,926053830.6,9260538306,20
UCY1kMZp36IQSyNx_9h4mpCg,70600000,Mark Rober,2897865.4,28978654,1
UCe9JSDmyqNgA_l2BzGHq1Ug,69500000,HAR PAL GEO,2051550,20515500,8
UCbTLwN10NoCU4WDzLf1JMOA,68300000,YRF,1053496878,10534968783,46
UC56gTxNs4f9xZ7Pa2i5xNzg,67400000,Sony Music India,797837546.4,7978375464,33
UC22nIfOTM7KLIQuFGMKzQbg,66800000,Wave Music,158476622.4,1584766224,42
UC4JCksJF76g_MdzPVBJoC3Q,64900000,ARY Digital HD,19865829.4,198658294,21
UCF1JIbMUs6uqoZEY1Haw0GQ,59800000,Shemaroo,8981738.2,89817382,4
UC3MLnJtqc_phABBriLRhtgQ,57800000,SonyMusicIndiaVEVO,683938407.5,6839384075,28
UC_A7K2dXFsTMAciGmnNxy-Q,57600000,Saregama Music,80081489.8,800814898,19
UC-LPIU24bQXVljUXivKEeRQ,56100000,StarPlus,879920.4,8799204,1
UCNzmmbXIbMzlqE8nD1PBXfg,52500000,Dangal TV Channel,7377176.1,73771761,13
UCEeEQxm6qc_qaTE7qTV5aLQ,51700000,HUM TV,4847378.4,48473784,23
UCWi_65E_L8tQZ34C6wVAlpQ,51200000,Ishtar Music,3348531.8,33485318,1
UCRm96I5kmb_iGFofE5N691w,49500000,T-Series Bollywood Classics,174778605.6,1747786056,7
UCRWFSbif-RFENbBrSiez1DA,48900000,ABP NEWS,7595447.8,75954478,6
UCIPPMRA040LQr5QPyJEbmXA,48800000,MrBeast Gaming,1055267.2,10552672,1
UCttspZesZIDEwwpVIgoZtWQ,48600000,IndiaTV,86594.9,865949,1
UCj-SWZSE0AmotGSQ3apROHw,48300000,PowerKids TV,2520448.1,25204481,2
UCtW7qWjpCZ8zps-Cf2NF26w,47600000,Goldmines Gaane Sune Ansune,36834844,368348440,1
UCOsyDsO5tIt-VZ1iwjdQmew,47500000,Speed Records,1032605066,10326050660,166
UCK5Q72Uyo73uRPk8PmM2A3w,47500000,Genevieve's Playhouse - Learning Videos for Kids,6273031.2,62730312,1
UCgJ5_1F6yJhYLnyMszUdmUg,47400000,Shorts Break,47432127,474321270,1
